GHO,YEAR,COUNTRY,GROUP,SEX_CODE,SEX,NUMERIC,GroupCode,,
ndx,2012,India,39,FMLE,Female,1105,35_39,,x+n
ndx,1990,India,54,FMLE,Female,3835,50_54,,x+n
ndx,2012,India,54,FMLE,Female,2758,50_54,,x+n
ndx,1990,India,59,FMLE,Female,5505,55_59,,x+n
ndx,2000,India,69,FMLE,Female,10419,65_69,,x+n
ndx,1990,India,74,FMLE,Female,12580,70_74,,x+n
ndx,2012,India,79,FMLE,Female,14907,75_79,,x+n
ndx,2000,India,84,FMLE,Female,11930,80_84,,x+n
ndx,2000,India,94,FMLE,Female,4047,90_94,,x+n
nLx,1990,India,1,FMLE,Female,93980,<1,,
nLx,2000,India,1,FMLE,Female,95324,<1,,
nLx,2012,India,1,FMLE,Female,96899,<1,,
nLx,1990,India,14,FMLE,Female,426102,10_14,,
nLx,2000,India,14,FMLE,Female,445634,10_14,,
nLx,2012,India,49,FMLE,Female,432242,45_49,,
nLx,2012,India,54,FMLE,Female,420742,50_54,,
nLx,2000,India,64,FMLE,Female,335438,60_64,,
nLx,1990,India,84,FMLE,Female,75517,80_84,,
nLx,1990,India,94,FMLE,Female,12674,90_94,,
nLx,2012,India,110,FMLE,Female,2278,100+,,
Tx,1990,India,14,FMLE,Female,4932290,10_14,,
Tx,2012,India,19,FMLE,Female,5381099,15_19,,
Tx,2012,India,24,FMLE,Female,4916864,20_24,,
Tx,1990,India,39,FMLE,Female,2861122,35_39,,
Tx,2000,India,39,FMLE,Female,3176529,35_39,,
Tx,1990,India,54,FMLE,Female,1707147,50_54,,
Tx,2000,India,79,FMLE,Female,334090,75_79,,
Tx,2012,India,89,FMLE,Female,103847,85_89,,
Tx,1990,India,94,FMLE,Female,16743,90_94,,
Tx,2000,India,94,FMLE,Female,25388,90_94,,
Tx,2012,India,94,FMLE,Female,38331,90_94,,
ex,1990,India,9,FMLE,Female,62,5_9,,
ex,2000,India,19,FMLE,Female,55,15_19,,
ex,2012,India,19,FMLE,Female,58,15_19,,
ex,2000,India,34,FMLE,Female,42,30_34,,
ex,2012,India,49,FMLE,Female,30,45_49,,
ex,1990,India,54,FMLE,Female,23,50_54,,
ex,2012,India,59,FMLE,Female,22,55_59,,
ex,2012,India,64,FMLE,Female,18,60_64,,
ex,2000,India,94,FMLE,Female,4,90_94,,
ex,1990,India,110,FMLE,Female,3,100+,,
ex,2000,India,110,FMLE,Female,3,100+,,
nMx,2012,India,4,MLE,Male,0.003,1_4,,
nMx,1990,India,34,MLE,Male,0.003,30_34,,
nMx,2000,India,59,MLE,Male,0.02,55_59,,
nMx,1990,India,64,MLE,Male,0.034,60_64,,
nMx,1990,India,74,MLE,Male,0.073,70_74,,
nMx,1990,India,79,MLE,Male,0.104,75_79,,
nMx,2012,India,89,MLE,Male,0.163,85_89,,
nMx,1990,India,94,MLE,Male,0.234,90_94,,
nMx,2012,India,99,MLE,Male,0.262,95_99,,
nMx,2012,India,110,MLE,Male,0.332,100+,,
nMx,1990,India,1,BTSX,Both sexes,0.094,<1,,
nMx,2012,India,19,BTSX,Both sexes,0.001,15_19,,
nMx,2000,India,24,BTSX,Both sexes,0.003,20_24,,
nMx,2012,India,24,BTSX,Both sexes,0.002,20_24,,
nMx,1990,India,39,BTSX,Both sexes,0.004,35_39,,
